#### DO NOT EDIT.  Generated by setup_overtone.sh ####
#
# GAIN(db) of filter3(frequency*4)
#            for 500Hz <= frequency
#
C5 -20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00
D#5 -10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
F#5 -10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
A5 -10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
C6 -10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
D#6 -15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00
F#6 -10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
A6 -15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00,-15.00
C7 -20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00
D#7 -30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00,-30.00
F#7 -40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00
A7 -40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00
C8 -40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00,-40.00

