#### DO NOT EDIT.  Generated by setup_overtone.sh ####
#
# GAIN(db) of filter1(frequency*12)
#            for 200Hz <= frequency
#
A3 -5.00,-5.00,-5.00,-5.00,-5.00,-4.95,-4.90,-4.85,-4.80,-4.75,-4.70,-4.60,-4.50,-3.90,-3.25,-2.50
C4 -10.00,-10.00,-10.00,-10.00,-10.00,-9.90,-9.80,-9.70,-9.60,-9.50,-9.40,-9.20,-9.00,-7.80,-6.50,-5.00
D#4 -12.00,-12.00,-12.00,-12.00,-12.00,-11.88,-11.76,-11.64,-11.52,-11.40,-11.28,-11.04,-10.80,-9.36,-7.80,-6.00
F#4 -27.50,-27.50,-27.50,-27.50,-27.50,-27.23,-26.95,-26.68,-26.40,-26.12,-25.85,-25.30,-24.75,-21.45,-17.88,-13.75
A4 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
C5 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
D#5 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
F#5 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
A5 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
C6 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
D#6 -40.00,-40.00,-40.00,-40.00,-40.00,-39.60,-39.20,-38.80,-38.40,-38.00,-37.60,-36.80,-36.00,-31.20,-26.00,-20.00
F#6 -30.00,-30.00,-30.00,-30.00,-30.00,-29.70,-29.40,-29.10,-28.80,-28.50,-28.20,-27.60,-27.00,-23.40,-19.50,-15.00
A6 -20.00,-20.00,-20.00,-20.00,-20.00,-19.80,-19.60,-19.40,-19.20,-19.00,-18.80,-18.40,-18.00,-15.60,-13.00,-10.00
C7 -5.00,-5.00,-5.00,-5.00,-5.00,-4.95,-4.90,-4.85,-4.80,-4.75,-4.70,-4.60,-4.50,-3.90,-3.25,-2.50

